DFF 1.0,AC Specs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Selector,,Freq_32khz,,,Freq_100khz,,,Freq_500khz,,,Freq_1Mhz,,,Freq_2Mhz,,,Freq_4Mhz,,,Freq_8Mhz,,,Freq_10Mhz,,,Freq_16Mhz,,,Freq_18p2Mhz,,,Freq_20Mhz,,,Freq_25Mhz,,,Freq_30Mhz,,,Freq_32Mhz,,,Freq_40Mhz,,,Freq_50Mhz,,,,
,Symbol,Value,Name,Val,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Comment,
,t_per_1us,0.000001,Min,Min,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,,
,t_per_10us,0.00001,Max,Max,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,
,t_per_10us,0.00001,Typ,Typ,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,
,t_per_10us,0.00001,Min,Min,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,,
,t_per_20ns,0.00000002,Max,Max,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,,
,t_per_20ns,0.00000002,Typ,Typ,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,,
,t_per_20ns,0.00000002,Min,Min,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,,
,t_per_25ns,0.000000025,Max,Max,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,,
,t_per_25ns,0.000000025,Typ,Typ,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,,
,t_per_25ns,0.000000025,Min,Min,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,0.000000025,,
